米Solid社、筋ジスの遺伝子治療のフェーズI//IIが差し止め,医療
米Skyhawk社、米celgeneと自己免疫・ガンを対象とするRNAスプライシング調整薬の共同開発へ,医療
生科学コウギョウ、新中計では他者の技術を取り入れ開発品目の拡充へ,医療
米Reata社、Nrf2活性化役のPIIIでアルポート症候群の腎機能・維持の長期効果を確認,医療
ペプチド医薬など開発するファンベップ、上場で約14億円を調達へ,医療
Roche社、II型とIII型のSMA患者にrisdiplameを投与したSUNFISH試験で主要エンドポイント達成,医療
三菱ケミカルHDが田辺製薬を完全子会社に,医療
三菱ケミカルHD、田辺三菱製薬を完全子会社にするために公開買い付け,医療
「臨床試験のデータを駆使すれば医療品開発は効率化できる」,医療
米Bolt社、cold tumorをhot tumorに変えるガン免疫療法で有望データ,医療
異種移植臓器を開発する米eGenesis社、ゲノム編集ブタ腎の臨床開発へ,食品・農業
かどや製油、LDLコレステロール対策「健やかごま油」のトクホ表示取得,食品・農業
花粉対策の初の機能性表示食品はキューピー「ディアレ」,食品・農業
Thermo Fisher社、迅速簡便な時勢台NGSプラットフォームを公開,食品・農業
花王、内臓脂肪対策のトクホ食用油「ヘルシア」を2020年に事業化へ,食品・農業
希少糖プシコース生産のメキシコ工場が竣工,食品・農業
米Trump大統領、FDA朝刊にMD Anderson放射線腫瘍学教授を指名,食品・農業
農水省、大学発ベンチャー企業促進支援の支援対象3社を決定,食品・農業
NEDO、バイオエコノミー推進室を新設,食品・農業
香川県発の希少糖シロップに低GIの機能表示,食品・農業
